signal,budget,actual_bytes,stage,test_nll,test_kl,calib_kl,additive_pred_dkl,joint_dkl,hist,allocation
measured,95744,95744,PTQ,2.4792580604553223,0.006721770856529474,0.006707300432026386,0.00261627696454525,0.002885108347982168,"{""6"": 1, ""3"": 15, ""4"": 2, ""2"": 8, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""4"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""3"", ""blocks.2.mlp.W_in"": ""3"", ""blocks.2.attn.W_V"": ""3"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""3"", ""blocks.1.mlp.W_in"": ""3"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""3"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,95744,95744,QAT200,2.478959560394287,0.006483740173280239,,,,"{""6"": 1, ""3"": 15, ""4"": 2, ""2"": 8, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""4"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""3"", ""blocks.2.mlp.W_in"": ""3"", ""blocks.2.attn.W_V"": ""3"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""3"", ""blocks.1.mlp.W_in"": ""3"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""3"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,95744,95744,QAT200_soft,2.477968692779541,0.005539144389331341,,,,"{""6"": 1, ""3"": 15, ""4"": 2, ""2"": 8, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""4"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""3"", ""blocks.2.mlp.W_in"": ""3"", ""blocks.2.attn.W_V"": ""3"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""3"", ""blocks.1.mlp.W_in"": ""3"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""3"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,82944,82944,PTQ,2.4841973781585693,0.011798501014709473,0.011578814126551151,0.00635380856692791,0.007756622042506933,"{""6"": 1, ""3"": 10, ""2"": 14, ""4"": 1, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""3"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""2"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""2"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,82944,82944,QAT200,2.48347806930542,0.010781262069940567,,,,"{""6"": 1, ""3"": 10, ""2"": 14, ""4"": 1, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""3"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""2"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""2"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,82944,82944,QAT200_soft,2.4817826747894287,0.009058622643351555,,,,"{""6"": 1, ""3"": 10, ""2"": 14, ""4"": 1, ""5"": 1}","{""unembed.W_U"": ""6"", ""blocks.3.mlp.W_out"": ""3"", ""blocks.3.mlp.W_in"": ""3"", ""blocks.3.attn.W_V"": ""3"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""3"", ""blocks.3.attn.W_Q"": ""2"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""2"", ""blocks.2.attn.W_K"": ""2"", ""blocks.2.attn.W_O"": ""3"", ""blocks.2.attn.W_Q"": ""2"", ""blocks.1.mlp.W_out"": ""2"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""3"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""3"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""3"", ""blocks.0.attn.W_V"": ""3"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""5""}"
measured,70272,70239,PTQ,2.4995265007019043,0.027827363461256027,0.027725882828235626,0.01648679142817855,0.023903690744191408,"{""4"": 3, ""2"": 18, ""T"": 5, ""3"": 1}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""2"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""2"", ""blocks.3.attn.W_Q"": ""T"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""T"", ""blocks.2.attn.W_K"": ""T"", ""blocks.2.attn.W_O"": ""2"", ""blocks.2.attn.W_Q"": ""T"", ""blocks.1.mlp.W_out"": ""T"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""2"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""2"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""2"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""4""}"
measured,70272,70239,QAT200,2.4960896968841553,0.024309150874614716,,,,"{""4"": 3, ""2"": 18, ""T"": 5, ""3"": 1}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""2"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""2"", ""blocks.3.attn.W_Q"": ""T"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""T"", ""blocks.2.attn.W_K"": ""T"", ""blocks.2.attn.W_O"": ""2"", ""blocks.2.attn.W_Q"": ""T"", ""blocks.1.mlp.W_out"": ""T"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""2"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""2"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""2"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""4""}"
measured,70272,70239,QAT200_soft,2.4922690391540527,0.020248394459486008,,,,"{""4"": 3, ""2"": 18, ""T"": 5, ""3"": 1}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""2"", ""blocks.3.attn.W_K"": ""2"", ""blocks.3.attn.W_O"": ""2"", ""blocks.3.attn.W_Q"": ""T"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""2"", ""blocks.2.attn.W_V"": ""T"", ""blocks.2.attn.W_K"": ""T"", ""blocks.2.attn.W_O"": ""2"", ""blocks.2.attn.W_Q"": ""T"", ""blocks.1.mlp.W_out"": ""T"", ""blocks.1.mlp.W_in"": ""2"", ""blocks.1.attn.W_V"": ""2"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""2"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""2"", ""blocks.0.mlp.W_in"": ""2"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""3"", ""blocks.0.attn.W_Q"": ""2"", ""pos_embed.W_pos"": ""4"", ""embed.W_E"": ""4""}"
measured,60000,59891,PTQ,2.5933115482330322,0.1214715987443924,0.12109751999378204,0.0404932068195194,0.11727532790973783,"{""4"": 1, ""2"": 9, ""T"": 11, ""1"": 2, ""del"": 2, ""3"": 2}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""T"", ""blocks.3.attn.W_K"": ""T"", ""blocks.3.attn.W_O"": ""T"", ""blocks.3.attn.W_Q"": ""1"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""T"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""T"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""T"", ""blocks.1.mlp.W_in"": ""T"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""2"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""T"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""2"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
measured,60000,59891,QAT200,2.5891244411468506,0.11698126047849655,,,,"{""4"": 1, ""2"": 9, ""T"": 11, ""1"": 2, ""del"": 2, ""3"": 2}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""T"", ""blocks.3.attn.W_K"": ""T"", ""blocks.3.attn.W_O"": ""T"", ""blocks.3.attn.W_Q"": ""1"", ""blocks.2.mlp.W_out"": ""2"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""T"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""T"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""T"", ""blocks.1.mlp.W_in"": ""T"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""2"", ""blocks.1.attn.W_O"": ""2"", ""blocks.1.attn.W_Q"": ""2"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""T"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""2"", ""blocks.0.attn.W_O"": ""2"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
